"log_diff_df.Date","BNB","BTC","ETH"
2020-03-31,19.4459375513397,10.0972900072057,17.4425834097991
2020-04-01,18.2412949372727,9.44800387332935,16.2346862860203
2020-04-02,16.1951290096531,9.70470468791321,15.5105346983873
2020-04-03,14.8102431652794,9.36686219102741,15.4900018452362
2020-04-04,13.9019313676979,8.8334268577092,14.448907375539
2020-04-05,13.4196814712519,8.53388514679177,13.8092124756839
2020-04-06,11.8474222085878,8.14175578430736,12.9832817947062
2020-04-07,24.8180031505397,11.6284838323175,35.5288262795237
2020-04-08,22.377459023211,10.868123847861,33.3005265186974
2020-04-09,19.942008746774,10.3561418720505,32.1259882270349
2020-04-10,17.399449326736,9.73575077283765,29.8726799844227
2020-04-11,27.0090714375692,11.6837423417834,31.4272204899805
2020-04-12,23.3799332344844,10.8848065482599,28.9768569976132
2020-04-13,21.6860411702318,10.1615542396947,26.731369126919
2020-04-14,22.5014591972205,9.56689054194975,24.8206960693715
2020-04-15,21.7934228231887,8.98678694795828,23.1325843380142
2020-04-16,25.2869046897299,9.28582315213653,22.2720867657698
2020-04-17,28.4407928066027,11.5323994229518,29.9225029139974
2020-04-18,24.5909216592442,10.75852907595,27.602871599503
2020-04-19,25.8877200299081,10.6060270861839,31.4438697618258
2020-04-20,23.6978544862166,10.0034866589881,29.8001749774434
2020-04-21,28.2359934809272,10.7952070759026,30.1467128562251
2020-04-22,24.410371297789,10.0836405834298,27.8059643447849
2020-04-23,22.9638980120401,10.4640717891502,28.8349964181936
2020-04-24,20.5366479597334,11.4717910339036,26.8092602449851
2020-04-25,17.9399579897709,10.6854961951779,24.7985240722177
2020-04-26,15.9874298415339,9.98390471847648,23.6963222460231
2020-04-27,14.0681757300585,9.65548560885595,22.1457535541421
2020-04-28,12.3678443312142,9.10198327774682,20.5460148198509
2020-04-29,10.9877956902536,8.58432580688654,19.0598463874654
2020-04-30,14.4185465553833,18.2650570932826,23.6210106332367
2020-05-01,13.3506553845796,17.0703436205932,23.3956442989652
2020-05-02,12.6419775656427,15.9735834626568,22.0518826316192
2020-05-03,11.1701573342898,14.9157656243105,20.4840936351657
2020-05-04,10.8871448783042,13.8628876426906,19.3197064828244
2020-05-05,9.80250167413724,12.8618394467405,18.2261203476702
2020-05-06,8.86935597108104,12.0657059236268,16.9931404698917
2020-05-07,9.54519015390674,11.2825738272546,16.7038240880214
2020-05-08,9.94812814901554,14.9197163360745,17.7961759364568
2020-05-09,8.94760019141734,14.0803352298727,16.5747221936359
2020-05-10,8.72198540960178,13.5076975877992,15.4565343349051
2020-05-11,19.6404944880652,17.871231760077,23.7570376402708
2020-05-12,18.1041235572809,16.8751695541786,22.1874861290399
2020-05-13,18.2523487029808,16.0340903718107,20.8186290992197
2020-05-14,17.0049393665005,16.7771396775091,21.1638715868577
2020-05-15,14.9795520682941,17.0743767262852,19.8206466872558
2020-05-16,15.6755752863405,17.6093525790826,19.9386217885415
2020-05-17,14.0709059159651,16.2261950744611,18.9555164576818
2020-05-18,12.6431436425094,15.6521751122471,18.3926484948178
2020-05-19,11.6451848196926,14.4644341849771,18.0199065099085
2020-05-20,11.8743146229621,13.4041751676659,16.752486920694
2020-05-21,10.9234119984647,12.9299902048136,15.9114863379565
2020-05-22,13.5338337648537,13.602901177689,17.1325215152299
2020-05-23,12.7209448806779,12.6377294540148,16.9627827042377
2020-05-24,11.2680093308267,11.7418492218202,15.7908519471105
2020-05-25,11.6535947888448,12.8023630174842,15.613248210203
2020-05-26,10.9355063423212,12.1222681168771,14.8310074183483
2020-05-27,9.84709870009704,11.3041310232872,14.0350145411963
2020-05-28,8.98395807109092,11.4610373590679,13.9136898686337
2020-05-29,9.71214663365904,11.6341145864736,15.0681944414061
2020-05-30,8.67861587766713,10.9716453375467,14.0712879530544
2020-05-31,9.90241517931889,10.7472450159203,20.0702324739425
2020-06-01,10.5350919778984,10.3153002032926,20.103675054386
2020-06-02,11.9713300160891,13.0223267172951,21.5754454365565
2020-06-03,12.5188419282552,15.2537851128713,21.3498967253846
2020-06-04,11.2743855021731,14.2287391331878,20.3100555336395
2020-06-05,10.0125766339816,13.275289140821,18.8577098946049
2020-06-06,8.98300642386915,12.582081174768,17.7097122309962
2020-06-07,8.15630916386904,11.6962698502116,16.5140515657134
2020-06-08,7.4998392239943,10.9161952412132,15.4330224821093
2020-06-09,6.77863045428638,10.1871034557501,14.4152005786212
2020-06-10,6.22242746584445,9.53133113938297,13.5707662891047
2020-06-11,5.69196782321375,8.9911568538404,12.8330818744644
2020-06-12,12.433506208144,11.1622808519933,15.89333288377
2020-06-13,11.3697751760479,10.5474577500643,15.2310327943989
2020-06-14,10.2050571289729,9.85367677848978,14.2179657318506
2020-06-15,9.41497769058349,9.37326774206181,13.8352210840353
2020-06-16,8.73119725182178,8.81811690171646,12.9768235888209
2020-06-17,7.82409629115492,8.33133619991452,12.3282256130666
2020-06-18,7.07725503962163,7.89072516376624,11.6084208051746
2020-06-19,6.8182977580465,7.52464019604051,11.0253686207757
2020-06-20,6.57673916352997,7.20224970536396,10.4944801607911
2020-06-21,6.00764798687712,6.845624661846,9.90530792515054
2020-06-22,5.57404784935218,6.56632844766153,9.38226670705347
2020-06-23,6.36379426056255,7.30103558970076,11.6541094793851
2020-06-24,5.8754489335488,6.94474672276916,10.9559293055611
2020-06-25,6.41075549887574,7.46145477934556,11.3149800222786
2020-06-26,5.98369303484348,7.11085933628642,10.7399395988168
2020-06-27,5.66765680798501,6.84438513022716,10.2724532629598
2020-06-28,7.98396436676457,6.74441979950808,10.8800107341321
